"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-11-18","0.00",",,0,2400","39",",,0","25",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-11-19","0.00",",,0,2400","59",",,0","33",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-11-20","0.00","T,,0,2400","38",",,0","27",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-11-21","0.00",",,0,2400","32",",,0","20",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-11-22","0.00",",,0,2400","38",",,0","25",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-11-23","0.03",",,0,2400","52",",,0","22",",,0","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-11-24","0.00",",,0,2400","53",",,0","40",",,0","    1",",,W",,,,,,,,,,,"    1",",,0","    1",",,X",,,,,,,"    1",",,X",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-11-25","0.00",",,0,2400","44",",,0","28",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-11-26","0.00",",,0,2400","55",",,0","26",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-11-27","0.00",",,0,2400","57",",,0","30",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-11-28","0.00",",,0,2400","50",",,0","35",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-11-29","0.04",",,0,2400","46",",,0","36",",,0","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-11-30","0.36",",,0,2400","36",",,0","33",",,0","    1",",,X","    1",",,X",,,,,"    1",",,0",,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-12-01","0.04",",,0,2400","34",",,0","28",",,0","    1",",,W",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-12-02","0.00",",,0,2400","48",",,0","25",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-12-03","0.07",",,0,2400","49",",,0","25",",,0","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X","    1",",,X",,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-12-04","0.00",",,0,2400","33",",,0","19",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-12-05","0.00",",,0,2400","32",",,0","16",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-12-06","0.01",",,0,2400","45",",,0","19",",,0","    1",",,W",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-12-07","0.00","T,,0,2400","32",",,0","15",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-12-08","0.04",",,0,2400","53",",,0","32",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-12-09","0.36",",,0,2400","55",",,0","31",",,0","    1",",,0",,,"    1",",,X","    1",",,X","    1",",,0","    1",",,W",,,,,,,,,"    1",",,X",,,,,,,"    1",",,0",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-12-10","0.00","T,,0,2400","34",",,0","25",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-12-11","0.00",",,0,2400","39",",,0","22",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-12-12","0.00","T,,0,2400","42",",,0","31",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-12-13","0.00",",,0,2400","49",",,0","33",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-12-14","0.27",",,0,2400","61",",,0","29",",,0","    1",",,W",,,,,"    1",",,X","    1",",,0","    1",",,W",,,,,,,,,,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-12-15","0.08",",,0,2400","29",",,0","13",",,0","    1",",,W",,,,,"    1",",,X",,,"    1",",,W",,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-12-16","0.04",",,0,2400","22",",,0","14",",,0","    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,"    1",",,X","    1",",,X",,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-12-17","0.00","T,,0,2400","26",",,0","21",",,0","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-12-18","0.34",",,0,2400","34",",,0","23",",,0","    1",",,W",,,,,,,"    1",",,0","    1",",,W","    1",",,0","    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,X","    1",",,X",,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-12-19","0.28",",,0,2400","55",",,0","30",",,0","    1",",,0",,,"    1",",,X",,,"    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-12-20","0.00","T,,0,2400","37",",,0","16",",,0","    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-12-21","0.00","T,,0,2400","16",",,0","5",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-12-22","0.00",",,0,2400","22",",,0","4",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-12-23","1.00",",,0,2400","38",",,0","22",",,0","    1",",,W",,,"    1",",,X","    1",",,X","    1",",,0","    1",",,W",,,,,,,,,,,,,"    1",",,X",,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-12-24","0.20",",,0,2400","42",",,0","22",",,0","    1",",,X","    1",",,X",,,,,"    1",",,0",,,,,,,"    1",",,0",,,,,,,"    1",",,X",,,"    1",",,X",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-12-25","0.00",",,0,2400","35",",,0","16",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-12-26","0.00","T,,0,2400","66",",,0","34",",,0","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-12-27","1.82",",,0,2400","68",",,0","33",",,0","    1",",,X","    1",",,X","    1",",,X",,,"    1",",,0",,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-12-28","0.00","T,,0,2400","48",",,0","30",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-12-29","0.00",",,0,2400","57",",,0","34",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-12-30","0.00",",,0,2400","66",",,0","29",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-12-31","0.00",",,0,2400","30",",,0","20",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-01-01","0.00",",,0,2400","43",",,0","22",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-01-02","0.00",",,0,2400","47",",,0","30",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-01-03","0.00","T,,0,2400","61",",,0","39",",,0","    1",",,X","    1",",,X",,,,,,,,,,,"    1",",,X","    1",",,0",,,,,,,,,,,"    1",",,X",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-01-04","0.00","T,,0,2400","58",",,0","23",",,0","    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X","    1",",,X",,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-01-05","0.00",",,0,2400","30",",,0","19",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-01-06","0.01",",,0,2400","33",",,0","27",",,0","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,,,,,,,"    1",",,X","    1",",,X","    1",",,X","    1",",,X",,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-01-07","0.00","T,,0,2400","41",",,0","30",",,0","    1",",,W",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-01-08","0.00",",,0,2400","35",",,0","21",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-01-09","0.00","T,,0,2400","61",",,0","32",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-01-10","0.02",",,0,2400","53",",,0","23",",,0","    1",",,W",,,,,,,"    1",",,0",,,"    1",",,0","    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-01-11","0.00",",,0,2400","42",",,0","21",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-01-12","0.00",",,0,2400","43",",,0","23",",,0","    1",",,W",,,,,,,,,,,"    1",",,0","    1",",,X",,,,,,,"    1",",,X",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-01-13","0.00","T,,0,2400","36",",,0","15",",,0","    1",",,W",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-01-14","0.00","T,,0,2400","40",",,0","6",",,0",,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-01-15","0.00",",,0,2400","13",",,0","0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-01-16","0.00","T,,0,2400","16",",,0","0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-01-17","0.00",",,0,2400","45",",,0","16",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-01-18","0.00","T,,0,2400","38",",,0","33",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-01-19","0.00","T,,0,2400","34",",,0","18",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-01-20","0.00","T,,0,2400","30",",,0","18",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-01-21","0.00",",,0,2400","48",",,0","19",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-01-22","0.00",",,0,2400","58",",,0","25",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-01-23","0.00",",,0,2400","44",",,0","24",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-01-24","0.00","T,,0,2400","24",",,0","10",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-01-25","0.07",",,0,2400","18",",,0","13",",,0",,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-01-26","0.17",",,0,2400","20",",,0","15",",,0","    1",",,W",,,,,"    1",",,X",,,"    1",",,W",,,,,,,,,,,,,,,,,"    1",",,0","    1",",,X","    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-01-27","0.42",",,0,2400","19",",,0","17",",,0","    1",",,W",,,"    1",",,0","    1",",,X",,,"    1",",,W",,,,,,,,,,,,,"    1",",,X",,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-01-28","0.08",",,0,2400","27",",,0","12",",,0","    1",",,W",,,,,,,,,,,"    1",",,0","    1",",,X",,,,,,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-01-29","0.00","T,,0,2400","36",",,0","21",",,0","    1",",,W",,,,,,,,,,,"    1",",,0","    1",",,X",,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-01-30","0.00",",,0,2400","34",",,0","20",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-01-31","0.00",",,0,2400","55",",,0","17",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-02-01","0.00",",,0,2400","47",",,0","33",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-02-02","0.00",",,0,2400","40",",,0","26",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-02-03","0.00",",,0,2400","31",",,0","8",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-02-04","0.00",",,0,2400","25",",,0","9",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-02-05","0.00",",,0,2400","45",",,0","18",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-02-06","0.00",",,0,2400","66",",,0","30",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-02-07","0.00",",,0,2400","70",",,0","54",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-02-08","0.00",",,0,2400","58",",,0","34",",,0","    1",",,W",,,,,,,,,,,"    1",",,0","    1",",,X",,,,,,,"    1",",,X",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-02-09","0.10",",,0,2400","71",",,0","40",",,0",,,,,,,,,"    1",",,0",,,"    1",",,0","    1",",,X",,,,,"    1",",,X",,,,,,,"    1",",,X",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-02-10","0.44",",,0,2400","71",",,0","52",",,0","    1",",,0",,,"    1",",,X",,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-02-11","1.22",",,0,2400","57",",,0","39",",,0","    1",",,W",,,"    1",",,X",,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-02-12","0.00",",,0,2400","57",",,0","35",",,0","    1",",,W",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-02-13","0.01",",,0,2400","51",",,0","39",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-02-14","0.00",",,0,2400","41",",,0","26",",,0",,,,,,,,,,,,,"    1",",,0","    1",",,X",,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-02-15","0.00",",,0,2400","38",",,0","24",",,0",,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-02-16","0.00",",,0,2400","41",",,0","20",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-02-17","0.00","T,,0,2400","45",",,0","31",",,0","    1",",,W",,,,,,,"    1",",,0",,,,,"    1",",,W",,,,,,,"    1",",,X","    1",",,X",,,"    1",",,X",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-02-18","0.00","T,,0,2400","54",",,0","30",",,0",,,,,,,,,,,,,"    1",",,0","    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-02-19","0.00","T,,0,2400","31",",,0","19",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-02-20","0.00",",,0,2400","44",",,0","20",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-02-21","0.03",",,0,2400","47",",,0","26",",,0","    1",",,W",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-02-22","0.00",",,0,2400","35",",,0","19",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-02-23","0.00",",,0,2400","38",",,0","19",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-02-24","0.00","T,,0,2400","49",",,0","30",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-02-25","0.00",",,0,2400","70",",,0","35",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-02-26","0.53",",,0,2400","68",",,0","44",",,0","    1",",,W","    1",",,X","    1",",,X",,,"    1",",,0",,,"    1",",,0","    1",",,X","    1",",,0",,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-02-27","0.00",",,0,2400","44",",,0","31",",,0","    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-02-28","0.00","T,,0,2400","32",",,0","25",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-03-01","0.00",",,0,2400","33",",,0","23",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-03-02","0.00",",,0,2400","32",",,0","20",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-03-03","0.00",",,0,2400","36",",,0","17",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-03-04","0.00",",,0,2400","59",",,0","26",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-03-05","0.00",",,0,2400","69",",,0","44",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-03-06","0.00",",,0,2400","82",",,0","61",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-03-07","0.00",",,0,2400","77",",,0","63",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-03-08","0.00","T,,0,2400","75",",,0","41",",,0",,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-03-09","0.07",",,0,2400","56",",,0","37",",,0","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-03-10","0.49",",,0,2400","80",",,0","34",",,0","    1",",,0",,,"    1",",,X",,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2009-03-11","0.00",",,0,2400","37",",,0","26",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
